Name	Status	NCBI_TaxID	ICTV
Avipoxvirus penguin/AP/ARG/2007	NCBI_only	1133595	.
Tropivirus A	ICTV_only	.	2019.v1.5253
Cycad leaf necrosis virus	NCBI_only	549205	.
Gordonia phage Duffington	NCBI_only	2507858	.
Escherichia phage P AB-2017	NCBI_only	1933115	.
Marine virus AFVG_250M1193	NCBI_only	2693230	.
Marine virus AFVG_250M1192	NCBI_only	2693229	.
Marine virus AFVG_250M1191	NCBI_only	2693228	.
Marine virus AFVG_250M1190	NCBI_only	2693227	.
Marine virus AFVG_250M1197	NCBI_only	2693234	.
Marine virus AFVG_250M1196	NCBI_only	2693233	.
Marine virus AFVG_250M1195	NCBI_only	2693232	.
Marine virus AFVG_250M1194	NCBI_only	2693231	.
Marine virus AFVG_250M1199	NCBI_only	2693236	.
Marine virus AFVG_250M1198	NCBI_only	2693235	.
Enterobacteria phage Aplg8	NCBI_only	1651202	.
Lactococcus phage P1046	NCBI_only	2662294	.
Qingnian Mosquito Virus	NCBI_only	1608059	.
Lactococcus phage P1045	NCBI_only	2662293	.
Lactococcus phage P1048	NCBI_only	2662295	.
Mesta yellow vein mosaic virus	NCBI_only	360579	.
Botrytis cinerea hypovirus 1 satellite-like RNA-S	NCBI_only	2219110	.
Rhizobium phage RHph_N28_1	NCBI_only	2509583	.
Marine virus AFVG_15N00002	NCBI_only	2573277	.
Marine virus AFVG_15N00003	NCBI_only	2573278	.
Marine virus AFVG_15N00004	NCBI_only	2573279	.
Marine virus AFVG_15N00005	NCBI_only	2573280	.
Marine virus AFVG_15N00006	NCBI_only	2573281	.
Crucivirus-88	NCBI_only	2761339	.
Bocavirus pig/Swebo_1/SWE	NCBI_only	673827	.
Sapovirus 1 rodent/Manhattan/2013	NCBI_only	1562071	.
Escherichia phage wV7	NCBI_only	1054480	.
Bat coronavirus POA/2012/E9	NCBI_only	1288700	.
Enterobacteria phage mEp332	NCBI_only	432203	.
Marinomonas phage CPG1g	NCBI_only	1965369	.
White bream virus	Both	405554	2019.v1.5029
Marine virus AFVG_250M229	NCBI_only	2693366	.
Marine virus AFVG_250M228	NCBI_only	2693365	.
Salmonella phage SEN23	NCBI_only	1647459	.
Salmonella phage SEN22	NCBI_only	1647458	.
Marine virus AFVG_250M223	NCBI_only	2693360	.
Marine virus AFVG_250M222	NCBI_only	2693359	.
Marine virus AFVG_250M225	NCBI_only	2693362	.
Botryosphaeria dothidea partitivirus 1	NCBI_only	1405300	.
Marine virus AFVG_250M227	NCBI_only	2693364	.
Salmonella phage SEN24	NCBI_only	1647460	.
Mycobacterium phage CRB1	NCBI_only	1458841	.
Mycobacterium phage CRB2	NCBI_only	2483623	.
Alphaproteobacteria phage MedPE-SWcel-C56	NCBI_only	1860151	.
Mycobacterium phage Omniscient	NCBI_only	2499050	.
Xinzhou partiti-like virus 1	NCBI_only	1923776	.
Gaeavirus sp.	NCBI_only	2487767	.
Bat coronavirus MfulBtCoV/3759-1	NCBI_only	1788422	.
Gordonia phage Skysand	NCBI_only	2301559	.
Cytorhabdovirus Rio Cuarto/2008	NCBI_only	1453885	.
Yersinia virus AP10	Both	2732775	2019.v1.288
Pelargonium line pattern virus	Both	167019	2019.v1.4028
Mycobacterium phage Hurricane	NCBI_only	2015810	.
Oat necrotic mottle virus	Both	112437	2019.v1.5598
Melon aphid-borne yellows virus	Both	471717	2019.v1.3961
Synechococcus phage S-H68	NCBI_only	2545436	.
Mycobacterium phage Pipcraft	NCBI_only	2182402	.
Pterostylis totivirus-like	NCBI_only	1905690	.
Picobirnavirus monkey/CHN-28/2002	NCBI_only	1195202	.
Klebsiella phage 117	NCBI_only	2601666	.
Salmonella phage WOLAM	NCBI_only	693830	.
Bacteroides phage SJC01	NCBI_only	2710504	.
Bacteroides phage SJC03	NCBI_only	2710505	.
Ichthyophonus archaeparvovirus	NCBI_only	2609879	.
Entoleuca ourmia-like virus 1	NCBI_only	2086648	.
Felis catus papillomavirus 6	NCBI_only	2704502	.
Paramyxovirus bat/Nig955/2010	NCBI_only	1353564	.
Acinetobacter phage vB_AbaP_Alexa	NCBI_only	2736223	.
Wenling lepidotrigla astrovirus	NCBI_only	2116417	.
Lake Sinai virus	NCBI_only	1547219	.
Bat coronavirus Art.lit/1816/BRA/2010	NCBI_only	1897067	.
Gordonia phage Tayonia	NCBI_only	2584492	.
Erwinia virus EtG	Both	2734059	2019.v1.783
Escherichia phage Pisces	NCBI_only	2591102	.
Marsupenaeus japonicus endogenous nimavirus	NCBI_only	2133793	.
Thermus phage TSP4	NCBI_only	1298530	.
Astrovirus swine/PoAstV19-3/Canada/2006	NCBI_only	942177	.
Human rhinovirus IN-35	NCBI_only	532090	.
Human rhinovirus IN-36	NCBI_only	532091	.
Weissella phage PWc	NCBI_only	1970788	.
Pneumovirus sp.	NCBI_only	2501434	.
Bat associated densovirus	NCBI_only	2781641	.
Kirsten murine sarcoma virus	Both	11808	2019.v1.5850
Arteriviridae sp.	NCBI_only	2697055	.
Synechococcus virus SRIM8	Both	2734121	2019.v1.1046
Landjia hapavirus	Both	1972618	2019.v1.4344
Rhabdoviridae sp.	NCBI_only	1955137	.
Marine virus AFVG_117N00011	NCBI_only	2573160	.
Marine virus AFVG_117N00012	NCBI_only	2573161	.
Marine virus AFVG_117N00017	NCBI_only	2573162	.
Pseudomonas phage Stalingrad	NCBI_only	2762287	.
Marsupial adeno-associated virus 1	NCBI_only	2497568	.
Streptococcus phage CHPC642	NCBI_only	2365038	.
Calicivirus turkey/MD-2010	NCBI_only	928728	.
Marine virus AFVG_250M1163	NCBI_only	2693197	.
Mycobacterium phage Zaider	NCBI_only	2499070	.
Banana bunchy top virus satellite Y	NCBI_only	497970	.
Primnoa pacifica coral associated circular virus	NCBI_only	1692262	.
Changjiang tombus-like virus 7	NCBI_only	1922821	.
Macaca mulatta type C retrovirus	NCBI_only	11829	.
Changjiang tombus-like virus 5	NCBI_only	1922819	.
Changjiang tombus-like virus 4	NCBI_only	1922818	.
Phlebovirus sp. 441	NCBI_only	1833908	.
Changjiang tombus-like virus 2	NCBI_only	1922813	.
Mycobacterium phage Wooldri	NCBI_only	1701854	.
Mouse parvovirus 2a	NCBI_only	267821	.
Pseudoalteromonas phage H105/1	NCBI_only	877240	.
Avian myeloblastosis virus	Both	11866	2019.v1.5823
Changjiang tombus-like virus 9	NCBI_only	1922823	.
Changjiang tombus-like virus 8	NCBI_only	1922822	.
Pseudomonas phage goonie	NCBI_only	2719837	.
Gigaspora margarita mycovirus 1A	NCBI_only	2783942	.
Pseudomonas virus F116	Both	280701	2019.v1.1233
Ceratitis capitata Yoyo virus	ICTV_only	.	2019.v1.5756
Dickeya virus Ninurta	Both	2733651	2019.v1.348
Potato yellow mosaic Panama virus	Both	223307	2019.v1.2848
Capybara microvirus Cap1_SP_137	NCBI_only	2585385	.
Poecivirus A	Both	2560644	2019.v1.5225
Pseudomonas virus shl2	Both	2733624	2019.v1.319
Marine virus AFVG_250C00742	NCBI_only	2573677	.
Marine virus AFVG_25M522	NCBI_only	2694703	.
Salmonella phage SW3	NCBI_only	2592221	.
Sugarcane bacilliform IM virus	Both	362398	2019.v1.5723
Molossus molossus gammaherpesvirus A	NCBI_only	2737718	.
Mycobacterium phage Phalm	NCBI_only	2686099	.
Neomys anomalus hantavirus	NCBI_only	516542	.
Streptococcus phage phi30c	NCBI_only	1289596	.
Vibrio virus VHML	Both	1922212	2019.v1.1154
Beet chlorosis virus	Both	131082	2019.v1.3949
Ludopivirus A	ICTV_only	.	2019.v1.5194
Tamdy virus	NCBI_only	1453410	.
Dog torquevirus 9286	NCBI_only	2483305	.
Grapevine geminivirus A	NCBI_only	1906317	.
